Time;Power;Temp
10;0;18,6413
20;0;17,3288
30;0;16,0609
40;0;14,836
50;0;13,6528
60;0;12,5097
70;0;11,4055
80;0;10,3388
90;0;9,30825
100;0;8,31276
110;0;7,35107
120;0;6,42206
130;0;5,52459
140;0;4,65761
150;0;3,82008
160;0;3,011
170;0;2,2294
180;0;1,47434
190;0;0,744938
200;0;0,0403062
210;0;-0,640391
220;0;-1,29797
230;0;-1,93321
240;0;-2,54687
250;0;-3,13969
260;0;-3,71238
270;0;-4,26561
280;0;-4,80005
290;0;-5,31634
300;0;-5,81509
310;0;-6,2969
320;0;-6,76235
330;0;-7,21198
340;0;-7,64635
350;0;-8,06596
360;0;-8,47131
370;0;-8,8629
380;0;-9,24119
390;0;-9,60663
400;0;-9,95965
410;0;-10,3007
420;377,437;-10,6301
430;790,98;-10,0937
440;117,64;-8,63908
450;0;-8,75858
460;0;-9,14042
470;0;-9,50928
480;0;-9,86561
490;0;-10,2098
500;263,399;-10,5424
510;680,816;-10,2672
520;335,363;-9,0561
530;0;-8,66842
540;0;-9,05331
550;0;-9,42513
560;0;-9,78432
570;0;-10,1313
580;164,83;-10,4665
590;585,595;-10,4171
600;523,552;-9,41655
610;0;-8,59049
620;0;-8,97803
630;0;-9,3524
640;0;-9,71406
650;0;-10,0634
660;79,6347;-10,401
670;503,293;-10,5467
680;686,206;-9,72809
690;0;-8,52313
700;0;-8,91296
710;0;-9,28954
720;0;-9,65334
730;0;-10,0048
740;5,99986;-10,3443
750;432,16;-10,6587
760;826,79;-9,99736
770;0;-8,46491
780;0;-8,85671
790;0;-9,23521
800;0;-9,60085
810;0;-9,95407
820;0;-10,2953
830;370,675;-10,6249
840;784,447;-10,104
850;130,551;-8,66381
860;0;-8,75324
870;0;-9,13525
880;0;-9,50429
890;0;-9,86079
900;0;-10,2052
910;257,554;-10,5379
920;675,169;-10,2761
930;346,523;-9,07747
940;0;-8,6638
950;0;-9,04885
960;0;-9,42082
970;0;-9,78016
980;0;-10,1273
990;159,777;-10,4626
1Â000;580,713;-10,4248
